# Redshift evolution of the volume-averaged He III fraction
# considering AGN with M_{1450} < -18 and M_{1450} < -18 from the
# model presented in Kulkarni, Worseck, and Hennawi 2018
# (arXiv:1807.09774 [astro-ph.GA]), Figure 11.
#
# Column 1: z
# Column 2: Q_HeIII with M_{1450} < -18 AGN
# Column 3: Lower bound on column 2 (68.26% equal-tailed credible interval)
# Column 4: Upper bound on column 2 (68.26% equal-tailed credible interval)
# Column 5: Q_HeIII with M_{1450} < -21 AGN 
# Column 6: Lower bound on column 5 (68.26% equal-tailed credible interval)
# Column 7: Upper bound on column 5 (68.26% equal-tailed credible interval)
z         Q_HeIII_18  Q_HeIII_18_l  Q_HeIII_18_u  Q_HeIII_21    Q_HeIII_21_l  Q_HeIII_21_u
10.799  1.534533e-06  7.498271e-08  3.215623e-05  5.963750e-07  8.838353e-08  2.906027e-06
10.787  1.576031e-06  7.726466e-08  3.280529e-05  6.116282e-07  9.095381e-08  2.972191e-06
10.775  1.618543e-06  7.959510e-08  3.346547e-05  6.272296e-07  9.357693e-08  3.039626e-06
10.763  1.662085e-06  8.197403e-08  3.413695e-05  6.431793e-07  9.625288e-08  3.108350e-06
10.751  1.706674e-06  8.440146e-08  3.481990e-05  6.594771e-07  9.898166e-08  3.178381e-06
10.739  1.752327e-06  8.687738e-08  3.551449e-05  6.761231e-07  1.017633e-07  3.249749e-06
10.727  1.799060e-06  8.940179e-08  3.622087e-05  6.931173e-07  1.045977e-07  3.322630e-06
10.715  1.846889e-06  9.197469e-08  3.693923e-05  7.104597e-07  1.074850e-07  3.397097e-06
10.703  1.895832e-06  9.459608e-08  3.767005e-05  7.281503e-07  1.104251e-07  3.473182e-06
10.691  1.945906e-06  9.726597e-08  3.841373e-05  7.461891e-07  1.134181e-07  3.550917e-06
10.679  1.997125e-06  9.998435e-08  3.917051e-05  7.645760e-07  1.164639e-07  3.630334e-06
10.667  2.049509e-06  1.027512e-07  3.994062e-05  7.833112e-07  1.195625e-07  3.711464e-06
10.655  2.103071e-06  1.055666e-07  4.072427e-05  8.024754e-07  1.227140e-07  3.794340e-06
10.643  2.157848e-06  1.084304e-07  4.152170e-05  8.222590e-07  1.259183e-07  3.878994e-06
10.631  2.214018e-06  1.113428e-07  4.233313e-05  8.426700e-07  1.291754e-07  3.965457e-06
10.619  2.271653e-06  1.143048e-07  4.315879e-05  8.637085e-07  1.324856e-07  4.053761e-06
10.607  2.330788e-06  1.173877e-07  4.399891e-05  8.853744e-07  1.359079e-07  4.143939e-06
10.595  2.391457e-06  1.206334e-07  4.485371e-05  9.076677e-07  1.394865e-07  4.236021e-06
10.583  2.453695e-06  1.240418e-07  4.572342e-05  9.305885e-07  1.432215e-07  4.330041e-06
10.571  2.517537e-06  1.276130e-07  4.660828e-05  9.541367e-07  1.471127e-07  4.426030e-06
10.559  2.583017e-06  1.313469e-07  4.750849e-05  9.783123e-07  1.511603e-07  4.524019e-06
10.547  2.650169e-06  1.352437e-07  4.842431e-05  1.003115e-06  1.553641e-07  4.624041e-06
10.535  2.719029e-06  1.393032e-07  4.935593e-05  1.028546e-06  1.597243e-07  4.726128e-06
10.523  2.789632e-06  1.435254e-07  5.030361e-05  1.054604e-06  1.642408e-07  4.830311e-06
10.511  2.862011e-06  1.479105e-07  5.126757e-05  1.081289e-06  1.689136e-07  4.936623e-06
10.498  2.936202e-06  1.524583e-07  5.224844e-05  1.108602e-06  1.737427e-07  5.045095e-06
10.486  3.012238e-06  1.571689e-07  5.324670e-05  1.136542e-06  1.787281e-07  5.155759e-06
10.474  3.090156e-06  1.620422e-07  5.426266e-05  1.165110e-06  1.838698e-07  5.268647e-06
10.462  3.169989e-06  1.670784e-07  5.529662e-05  1.194305e-06  1.891679e-07  5.383792e-06
