Name,ra,dec,ee_a,ee_b,ee_a_sys,ee_b_sys,ee_theta,DM,DM_err,fluence,fluence_err,RM,RM_err,z,repeater,telescope,refs,P(O|x),ra_new,dec_new,eea_new,eeb_new,ee_theta_new,Diff RA,Diff (DEC)
FRB20230702A,132.124693,26.389497,15.264,2.0016,,,8.421692,598.878,0,52.6,5.4,,,0.3658,FALSE,CHIME,Leung+2025,0.53839,,,,,,,
FRB20230703A,184.624449,48.729933,20.1348,2.0016,,,9.727547,290.745,0,8.45,0.93,,,0.1184,FALSE,CHIME,Leung+2025,0.973473,,,,,,,
FRB20230720A,4.454435,21.271245,13.6548,2.0016,,,8.261756,532.965,0,433.2,43.46,,,,FALSE,CHIME,Leung+2025,0.37531,,,,,,,
FRB20230730A,54.664564,33.159296,12.2148,2.0016,,,9.909355,312.581,0,37.07,3.82,,,0.2115,FALSE,CHIME,Leung+2025,0.951931,,,,,,,
FRB20230802A,339.2845,30.788721,13.7448,2.0016,,,9.047058,305.303,0,69.3,7.02,,,,FALSE,CHIME,Leung+2025,0.382216,,,,,,,
FRB20230805A,36.017673,52.695487,26.4132,2.0016,,,10.360141,638.506958,0,15.63,1.73,,,,FALSE,CHIME,Leung+2025,0.240326,,,,,,,
FRB20230828A,22.287034,34.429645,12.4848,2.0016,,,10.180043,377.281,0,338.89,34.03,,,0.6268,FALSE,CHIME,Leung+2025,0.000011,,,,,,,
FRB20230911A,49.647969,2.667129,11.3256,2.0016,,,6.671559,351.401245,0,773.55,77.42,,,,FALSE,CHIME,Leung+2025,0.687366,,,,,,,
FRB20230913A,131.903753,87.995112,12.186,2.0016,,,-6.166066,251.116425,0,92.04,9.22,,,,FALSE,CHIME,Leung+2025,0.000043,,,,,,,
FRB20230918A,161.050726,61.120861,11.6172,2.0016,,,8.435019,365.95871,0,58.22,5.85,,,0.06,FALSE,CHIME,Leung+2025,0.185319,,,,,,,
FRB20230923A,206.614104,45.408008,13.8132,2.0016,,,9.461044,918.333984,0,34,3.45,,,0.4445,FALSE,CHIME,Leung+2025,0.747105,,,,,,,
FRB20230924A,193.366935,42.579857,22.3812,2.0016,,,10.024749,991.12,0,9.68,1.04,,,0.3942,FALSE,CHIME,Leung+2025,0.45741,,,,,,,
FRB20230926A,269.124876,41.814304,17.964,2.0016,,,8.87811,222.810226,0,28.41,3.08,,,0.0553,FALSE,CHIME,Leung+2025,0.995847,,,,,,,
FRB20230928A,104.407554,60.572895,11.1672,2.0016,,,7.425967,533.757752,0,9942.72,994.28,,,,FALSE,CHIME,Leung+2025,0.437755,,,,,,,
FRB20231005B,344.380547,15.223878,18.7668,2.0016,,,8.084905,640.933228,0,33.48,3.48,,,,FALSE,CHIME,Leung+2025,0.267428,,,,,,,
FRB20231005A,246.028004,35.448712,11.3904,2.0016,,,10.482417,188.842789,0,60.02,6.05,,,0.0713,FALSE,CHIME,Leung+2025,0.984624,,,,,,,
FRB20231006B,109.619968,84.776136,16.0416,2.0016,,,-1.920917,1252.3,0,20.55,2.14,,,0.478,FALSE,CHIME,Leung+2025,0.262416,,,,,,,
FRB20231007B,307.531693,72.892348,11.6784,2.0016,,,7.292682,202.5,0,138.87,13.93,,,,FALSE,CHIME,Leung+2025,0.946031,,,,,,,
FRB20231007A,185.384974,79.885144,24.5268,2.0016,,,4.243263,819.666626,0,36.74,3.88,,,,FALSE,CHIME,Leung+2025,0.873172,,,,,,,
FRB20231009A,211.756891,17.211412,51.0804,2.0016,,,8.043601,391.029907,0,46.15,5.14,,,,FALSE,CHIME,Leung+2025,0.227385,,,,,,,
FRB20231011A,18.241101,41.749098,11.4948,2.0016,,,13.734695,186.416534,0,58.32,5.86,,,0.0783,FALSE,CHIME,Leung+2025,0.991333,,,,,,,
FRB20231014A,343.760402,54.49522,19.764,2.0016,,,10.657199,860.912842,0,40.5,4.19,,,,FALSE,CHIME,Leung+2025,0.034446,,,,,,,
FRB20231017A,346.754287,36.652682,13.122,2.0016,,,9.407498,344.122498,0,8.19,0.86,,,0.245,FALSE,CHIME,Leung+2025,0.918165,,,,,,,
FRB20231018A,113.952508,67.615649,25.2216,2.0016,,,12.940335,546.697327,0,805.04,81.1,,,,FALSE,CHIME,Leung+2025,0.679542,,,,,,,
FRB20231019A,19.103581,20.627498,31.1832,2.0016,,,8.213081,246.67,0,53.57,5.54,,,,FALSE,CHIME,Leung+2025,0.392097,,,,,,,
FRB20231019B,216.531822,44.508312,15.2064,2.0016,,,9.495408,909.437744,0,162.87,16.3,,,,FALSE,CHIME,Leung+2025,0.069672,,,,,,,
FRB20231020A,76.120806,72.078886,39.7692,2.0016,,,11.04,267.291382,0,18.34,2.14,,,,FALSE,CHIME,Leung+2025,0.570627,,,,,,,
FRB20231025C,71.977226,33.237985,15.462,2.0016,,,9.228786,509.915955,0,3.93,0.44,,,,FALSE,CHIME,Leung+2025,0.947554,,,,,,,
FRB20231025B,270.788071,63.989077,25.6068,2.0016,,,9.952713,368.384949,0,5.23,0.61,,,0.3238,FALSE,CHIME,Leung+2025,0.925295,,,,,,,
FRB20231028A,249.46599,80.082904,152.046,2.0016,,,9.732377,585.938293,0,66.25,6.93,,,,FALSE,CHIME,Leung+2025,0.222859,,,,,,,
FRB20231028B,151.36185,54.378893,11.25,2.0016,,,9.096674,333.61,0,64.11,6.44,,,,FALSE,CHIME,Leung+2025,0.890637,,,,,,,
FRB20231101A,135.394223,0.941792,16.8156,2.0016,,,6.40689,412.057373,0,215.85,21.8,,,,FALSE,CHIME,Leung+2025,0.394543,,,,,,,
FRB20231102A,228.837416,56.799192,15.0084,2.0016,,,9.845774,906.202759,0,12.01,1.26,,,0.6878,FALSE,CHIME,Leung+2025,0.350211,,,,,,,
FRB20231104B,135.105161,46.339935,35.9748,2.0016,,,9.242392,382.942444,0,18.78,2.05,,,,FALSE,CHIME,Leung+2025,0.39178,,,,,,,
FRB20231110A,8.897104,15.837193,23.0256,2.0016,,,8.337175,448.05,0,81.13,8.25,,,,FALSE,CHIME,Leung+2025,0.405298,,,,,,,
FRB20231110B,171.61679,35.806703,31.734,2.0016,,,9.067814,726.660584,0,152.83,15.46,,,,FALSE,CHIME,Leung+2025,0.337556,,,,,,,
FRB20231118A,312.391873,37.923521,20.6064,2.0016,,,10.071474,473.117889,0,109.12,11.03,,,,FALSE,CHIME,Leung+2025,0.000477,,,,,,,
FRB20231118B,213.679783,72.35021,16.7724,2.0016,,,4.141294,317.433807,0,98.95,10.88,,,,FALSE,CHIME,Leung+2025,0.876675,,,,,,,
FRB20231123C,4.089476,20.029334,13.5972,2.0016,,,8.317726,304.493835,0,8.92,0.99,,,,FALSE,CHIME,Leung+2025,0.331665,,,,,,,
FRB20231123A,82.623249,4.475541,16.254,2.0016,,,6.842796,302.067566,0,56.84,5.85,,,0.0729,FALSE,CHIME,Leung+2025,0.95591,,,,,,,
FRB20231126A,21.816031,89.288944,59.1156,2.0016,,,-6.849878,673.283142,0,15.46,1.76,,,,FALSE,CHIME,Leung+2025,0.122311,,,,,,,
FRB20231127A,36.83517,58.908699,14.2848,2.0016,,,11.15117,412.461762,0,185.69,18.66,,,,FALSE,CHIME,Leung+2025,0.666423,,,,,,,
FRB20231128A,199.578201,42.992708,29.8908,2.0016,,,9.904936,332.4,0,67.68,6.87,,,0.1079,TRUE,CHIME,Leung+2025,0.984675,,,,,,,
FRB20231201A,54.589294,26.817672,20.2716,2.0016,,,0.516212,169.432816,0,10.83,1.15,,,0.119,FALSE,CHIME,Leung+2025,0.911081,,,,,,,
FRB20231202A,65.030388,38.633278,13.1904,2.0016,,,9.048618,437.128601,0,33.82,3.47,,,,FALSE,CHIME,Leung+2025,0.987769,,,,,,,
FRB20231203A,113.726028,52.734163,61.5456,2.0016,,,9.341372,335.226257,0,10.6,1.12,,,,FALSE,CHIME,Leung+2025,0.250151,,,,,,,
FRB20231204A,207.999034,48.115997,26.1432,2.0016,,,9.486636,222,0,25.53,2.71,,,0.0644,TRUE,CHIME,Leung+2025,0.976179,,,,,,,
FRB20231206A,112.442845,56.256274,27.7056,2.0016,,,11.328071,457.751679,0,179.43,18.23,,,0.0659,FALSE,CHIME,Leung+2025,0.989186,,,,,,,
FRB20231209A,180.909515,50.078792,21.8808,2.0016,,,9.610028,1232.128418,0,36.27,3.73,,,,FALSE,CHIME,Leung+2025,0.504687,,,,,,,
FRB20231210A,13.132636,16.30105,49.6656,2.0016,,,3.105943,482.418518,0,10.97,1.23,,,,FALSE,CHIME,Leung+2025,0.509419,,,,,,,
FRB20231210B,59.667924,27.027456,22.6512,2.0016,,,9.162237,505.872223,0,17.29,1.86,,,,FALSE,CHIME,Leung+2025,0.653126,,,,,,,
FRB20231214A,143.546109,6.368814,13.1292,2.0016,,,5.119173,243.837692,0,19.22,2.02,,,,FALSE,CHIME,Leung+2025,0.773837,,,,,,,
FRB20231219A,284.741829,89.203935,37.1916,2.0016,,,-8.304657,603.730774,0,12.33,1.51,,,,FALSE,CHIME,Leung+2025,0.011178,,,,,,,
FRB20231223B,78.699512,48.754654,84.1716,2.0016,,,8.808987,499.402222,0,15.02,1.72,,,,FALSE,CHIME,Leung+2025,0.260065,,,,,,,
