tns_name,previous_name,repeater_name,ra,ra_err,ra_notes,dec,dec_err,dec_notes,gl,gb,exp_up,exp_up_err,exp_up_notes,exp_low,exp_low_err,exp_low_notes,bonsai_snr,bonsai_dm,low_ft_68,up_ft_68,low_ft_95,up_ft_95,snr_fitb,dm_fitb,dm_fitb_err,dm_exc_ne2001,dm_exc_ymw16,bc_width,scat_time,scat_time_err,flux,flux_err,flux_notes,fluence,fluence_err,fluence_notes,sub_num,mjd_400,mjd_400_err,mjd_inf,mjd_inf_err,width_fitb,width_fitb_err,sp_idx,sp_idx_err,sp_run,sp_run_err,high_freq,low_freq,peak_freq,chi_sq,dof,flag_frac,excluded_flag
FRB20181030A,181030.J1054+73,FRB20181030A,158.35,0.18,-9999,73.79,0.31,-9999,134.84,39.98,40,23,-9999,39,13,-9999,11.5,101.9,10.9,1.6,22.7,3.5,10.8,103.3960,0.0058,62.3,70.3,0.00197,<0.00088,-9999,4.3,3.6,-9999,8.2,5.9,-9999,0,58421.175845211,0.000000033,58421.175814206,0.000000033,0.000695,0.000094,3.5,3.4,-3.1,3.7,800.2,400.2,703.7,316487.867,314938,0.494,0
FRB20181030B,-9999,FRB20181030A,158.35,0.18,-9999,73.79,0.31,-9999,134.84,39.98,40,23,-9999,39,13,-9999,10.2,101.9,10.9,1.6,22.7,3.5,32.9,103.6425,0.0047,62.5,70.5,0.00295,<0.0014,-9999,2.3,1.8,-9999,6.9,3.7,-9999,0,58421.178028264,0.000000010,58421.177997185,0.000000011,0.001255,0.000054,22.9,2.5,-43.2,4.0,656.8,414.0,521.4,320534.22,317978,0.489,0
FRB20181030D,-9999,-9999,81.79,0.18,-9999,16.07,0.21,-9999,188.68,-10.44,13.8,6.1,-9999,-9999,-9999,-9999,21.5,289.5,0,4.2,0,7.3,29.2,289.4422,0.0030,165.9,103.1,0.00295,0.00087,0.00012,2.74,0.90,-9999,5.9,1.9,-9999,0,58421.452842536,0.000000012,58421.452755742,0.000000012,0.000362,0.000061,1.51,0.93,-3.0,1.1,800.2,400.2,514.8,342675.375,342297,0.45,0
FRB20181030E,-9999,-9999,135.670,0.012,-9999,8.89,0.19,-9999,220.25,33.16,14.1,4.9,-9999,-9999,-9999,-9999,24.3,158.5,0,5.5,0,11.3,37.7,159.6902,0.0041,109.8,113.7,0.0059,0.000973,0.000069,2.0,1.5,-9999,6.3,3.9,-9999,0,58421.6014,0.0082,58421.6013,0.0082,<0.00040,-9999,22.3,1.8,-69.0,4.9,564.8,400.2,470.5,334358.342,332569,0.466,0
FRB20181101A,-9999,-9999,21.260,0.011,-9999,53.88,0.16,-9999,127.93,-8.67,23,10,-9999,-9999,-9999,-9999,14.1,1468.7,0,8.4,0,15.5,41.2,1472.678,0.060,1327.8,1311.1,0.03047,0.0100,0.0015,0.50,0.33,-9999,10.7,5.2,-9999,0,58423.280458679,0.000000021,58423.280017075,0.000000027,0.00603,0.00064,16.4,1.2,-37.7,2.4,636.8,400.2,497.4,1295380.654,1288953,0.482,0
FRB20181102A,-9999,-9999,87.22,0.22,-9999,15.63,0.27,-9999,191.81,-6.21,12.1,6.9,-9999,-9999,-9999,-9999,11.9,415.7,0,2.6,0,4.6,11.9,414.4649,0.0092,258.8,168.0,0.00098,<0.00093,-9999,1.48,0.49,-9999,2.52,0.92,-9999,0,58424.4608301643,0.0000000025,58424.4607058810,0.0000000037,0.00069,0.00012,0.2,1.7,0.4,2.2,800.2,400.2,800.2,384360.376,384250,0.383,0
FRB20181104A,-9999,FRB20180916B,29.5031258,6e-07,RA from Marcote et al. (2020),65.7167542,6e-07,Dec from Marcote et al. (2020),129.71,3.73,46.06,0,No error on exposure due to precise position. See Section 2.2.,-9999,-9999,-9999,17.9,347.8,0,6.8,0,26.1,53.9,349.4388,0.0090,150.5,24.6,0.00295,0.00069,0.00015,1.50,0.44,-9999,5.0,1.4,-9999,0,58426.2897983227,0.0000000016,58426.2896935384,0.0000000031,0.000904,0.000068,64.3,3.6,-111.5,5.8,616.5,462.5,534.0,362179.757,361145,0.42,0
FRB20181104B,-9999,FRB20180916B,29.5031258,6e-07,RA from Marcote et al. (2020),65.7167542,6e-07,Dec from Marcote et al. (2020),129.71,3.73,46.06,0,No error on exposure due to precise position. See Section 2.2.,-9999,-9999,-9999,10.6,342.9,0,6.8,0,26.1,18.6,350.14,0.23,151.2,25.3,0.02163,<0.0078,-9999,0.31,0.26,-9999,4.4,1.4,-9999,0,58426.296547615,0.000000014,58426.296442621,0.000000070,0.00661,0.00058,8.3,3.4,-56,14,528.3,400.2,431.3,745652.385,744186,0.402,0
FRB20181104C,-9999,-9999,77.05,0.14,-9999,17.44,0.15,-9999,184.96,-13.47,17.0,3.4,-9999,-9999,-9999,-9999,62.2,580.7,0,5.8,0,10.1,101.3,580.81762,0.00051,475.5,429.7,0.00098,<0.00048,-9999,9.7,2.7,-9999,20.7,5.7,-9999,0,58426.42715629732,0.00000000051,58426.42698213066,0.00000000053,0.0004611,0.0000070,5.81,0.33,-9.25,0.44,800.2,400.2,547.6,354822.311,348373,0.44,0
FRB20181104C,-9999,-9999,77.05,0.14,-9999,17.44,0.15,-9999,184.96,-13.47,17.0,3.4,-9999,-9999,-9999,-9999,62.2,580.7,0,5.8,0,10.1,101.3,580.81762,0.00051,475.5,429.7,0.00098,<0.00048,-9999,9.7,2.7,-9999,20.7,5.7,-9999,1,58426.4271563405,0.0000000022,58426.4269821738,0.0000000023,0.00146,0.00014,7.4,1.7,-10.9,2.2,800.2,400.2,561.0,354822.311,348373,0.44,0
FRB20181115A,-9999,-9999,142.980,0.039,-9999,56.40,0.18,-9999,159.11,44.2,23,11,-9999,-9999,-9999,-9999,18.8,981.8,0,1.7,0,2.8,25.2,981.613,0.016,941.6,951.8,0.00492,<0.0021,-9999,0.44,0.20,-9999,1.92,0.47,-9999,0,58437.5798384896,0.0000000027,58437.5795441385,0.0000000054,0.00183,0.00012,19.6,2.5,-62.0,7.3,568.4,400.2,468.8,329974.605,328314,0.473,0
