#----------------------------------------------------------------------------------------------------------------------------------------------------
ID 	    PSRJ       Pref            RAJ           RAf    RAref     DECJ              DECf  DECref      P0                     P0f  P0ref     DM           DMf  DMref
#                               (hms)                              (dms)                              (s)                                    (cm^-3 pc)                   
#------------------------------------------------------------------------------------------------------------------------------------------------------
160   J0517+22      cha03      05:17:10            20  cha03      +22:16               5  cha03      0.222344                 0  cha03      20             0  cha03      

161   J0519+44      hrk+08     05:19                0  hrk+08     +44                  0  hrk+08     0.515                    0  hrk+08     52             0  hrk+08     
162   J0519+54      slr+14     05:20                2  slr+14     +54:25              18  slr+14     0.340194                12  slr+14     43             1  slr+14     
163   J0519-6932    mfl+06     05:19:46.917        12  mfl+06     -69:32:23.48         7  mfl+06     0.263211634568           3  mfl+06     119.4          5  mfl+06     
164   J0520-2553    lml+98     05:20:36.185         4  hlk+04     -25:53:12.29        11  hlk+04     0.2416421756731          7  hlk+04     33.77          3  hlk+04     
165   J0521-68      rcl+13     05:21:44             0  rcl+13     -68:35               0  rcl+13     0.43342070              30  rcl+13     136            4  rcl+13     

166   J0522-6847    mfl+06     05:22:23.06          8  mfl+06     -68:47:02.2          3  mfl+06     0.67453190906            3  mfl+06     126.45         7  mfl+06     
167   J0525+1115    mlt+78     05:25:56.4483       11  hlk+04     +11:15:19.08         7  hlk+04     0.35443759451370        13  hlk+04     79.418        13  bkk+16     
168   J0528+2200    sr68       05:28:52.264         9  ywml10     +22:00:04            2  ywml10     3.74553925030            3  ywml10     50.8695       13  bkk+16     
169   J0529-6652    mhah83     05:29:50.92         13  ckm+01     -66:52:38.2          9  ckm+01     0.97572496638            6  ckm+01     103.2          3  ckm+01     
170   J0532-6639    mfl+06     05:32:59.51          6  mfl+06     -66:39:37.3          5  mfl+06     0.64274275093            3  mfl+06     69.3          18  mfl+06     

171   J0532-69      rcl+13     05:32:04             0  rcl+13     -69:46               0  rcl+13     0.57459786              70  rcl+13     124            1  rcl+13     
172   J0533+0402    snt97      05:33:25.82          1  snt97      +04:02:00.5          4  snt97      0.96301770198            2  snt97      83.7           1  snt97      
173   J0533+67      rap+12     05:33                0  rap+12     +67                  0  rap+12     0.00439                  0  rap+12     57.4           0  rap+12     
174   J0534+2200    sr68       05:34:31.973         5  mcn71      +22:00:52.06         6  mcn71      0.0333924123            12  ljg+15     56.77118      24  bkk+16     
175   J0534-6703    mfl+06     05:34:36.17         10  mfl+06     -67:03:48.8          8  mfl+06     1.81756503106           17  mfl+06     94.7          12  mfl+06     

176   J0535-66      rcl+13     05:35:40             0  rcl+13     -66:52               0  rcl+13     0.210524357             30  rcl+13     75             1  rcl+13     
177   J0535-6935    ckm+01     05:35                2  ckm+01     -69:35               7  ckm+01     0.20051133               2  mfl+06     93.7           4  mfl+06     
178   J0536-7543    mlt+78     05:36:30.79          8  smd93      -75:43:56.7          2  smd93      1.24585559629            5  smd93      17.5           5  dmk+93     
179   J0537-69      rcl+13     05:37:43             0  rcl+13     -69:21               0  rcl+13     0.112613212             20  rcl+13     273            1  rcl+13     
180   J0538+2817    fcwa95     05:38:25.0572        1  cbv+09     +28:17:09.161        2  cbv+09     0.14315825891177        11  klh+03     39.570         1  lwf+04     

181   J0540+3207    cfl+06     05:40:37.116         1  nab+13     +32:07:37.3          1  nab+13     0.5242708632083          5  nab+13     61.97          4  nab+13     
182   J0540-6919    shh84      05:40:11.202         9  msl+10     -69:19:54.17         5  msl+10     0.0505697030222         18  fak15      146.5          2  jr03       
183   J0540-7125    lml+98     05:40:30.8           3  dsb+98     -71:25:31.4          5  dsb+98     1.286014595              3  dsb+98     29.41          7  dsb+98     
184   J0542-68      rcl+13     05:42:35             0  rcl+13     -68:16               0  rcl+13     0.42518900              72  rcl+13     114            5  rcl+13     
185   J0543+2329    dls72      05:43:09.660        11  hlk+04     +23:29:05            5  hlk+04     0.2459747688901         19  hlk+04     77.7026       10  bkk+16     

186   J0543-6851    mfl+06     05:43:52.71         11  mfl+06     -68:51:25.3          9  mfl+06     0.70895418575            6  mfl+06     131            4  mfl+06     
187   J0545-03      kkl+15     05:45                2  kkl+15     -03:10              36  kkl+15     1.07393                  2  kkl+15     67.2           4  kkl+15     
