#,NAME,dm,P0,RAJD,DECJD
,(cm^-3,pc),(s),(deg),(deg),
155,J0451-67,mfl+06,45,1,mfl+06,0.24545429,7,mfl+06,72.95833,-67.30000,
156,B0450-18,vlw69,39.903,3,hlk+04,0.548939223294,3,hlk+04,73.14211,-17.98983,
157,J0453+1559,dsm+13,30.3053,3,msf+15,0.0457818168729515,33,msf+15,73.43922,15.98925,
158,B0450+55,dth78,14.59002,15,bkk+16,0.340729436235,10,hlk+04,73.53229,55.72818,
159,B0456-69,mmh+91,94.89,14,ckm+01,0.320422711526,12,ckm+01,73.94812,-69.85953,
160,J0456-69,rcl+13,103,1,rcl+13,0.117073051,15,rcl+13,74.12500,-69.16667,
161,J0456-7031,mfl+06,100.3,3,mfl+06,0.80013207321,10,mfl+06,74.01042,-70.51850,
162,J0457+23,dsm+13,59,0,dsm+13,0.5049,0,dsm+13,74.27500,23.56667,
163,J0457-6337,mfl+06,27.5,10,mfl+06,2.49701169613,19,mfl+06,74.28246,-63.62511,
164,J0457-69,rcl+13,91,1,rcl+13,0.231390388,73,rcl+13,74.25833,-69.76667,
165,J0458-0505,lbr+13,47.806,32,lbr+13,1.88347965849,18,lbr+13,74.65467,-5.08475,
166,J0458-67,rcl+13,97,2,rcl+13,1.1339000,18,rcl+13,74.74583,-67.71667,
167,J0459-0210,mld+96,21.02,3,hlk+04,1.133076123659,6,hlk+04,74.96642,-2.16851,
168,J0501+4516,gwk08,*,0,*,5.76209653,4,gwk+10,75.27817,45.27609,
169,B0458+46,dth78,41.834,20,bkk+16,0.638565481517,3,hlk+04,75.51900,46.90169,
170,B0502-66,mmh+91,68.9,3,ckm+01,0.69125141818,4,ckm+01,75.71054,-66.29967,
171,J0509+08,dsm+13,38,0,dsm+13,0.0041,0,dsm+13,77.35000,8.95000,
172,J0509+3801,slr+14,69.0794,9,lsk+18,0.07654134872199,12,lsk+18,77.38245,38.02169,
173,J0511-6508,mfl+06,25.66,8,mfl+06,0.322061827468,8,mfl+06,77.98542,-65.14347,
174,J0514-4002A,fgri04,52.1489,6,frg07,0.004990575114114,3,frg07,78.52789,-40.04692,
175,J0514-4407,bcm+15,15.4,0,bcm+15,0.3022,0,bcm+15,78.71600,-44.11847,
176,J0517+2212,cha03,18.705,14,bfrs18,0.2223665151982,7,bfrs18,79.32145,22.21442,
177,J0518+5416,slr+14,42.330,5,lsk+18,0.340202651600,6,lsk+18,79.72167,54.28056,
178,J0519+44,hrk+08,52,0,hrk+08,0.515,0,hrk+08,79.75000,44.00000,
179,J0519-6932,mfl+06,119.4,5,mfl+06,0.263211634568,3,mfl+06,79.94549,-69.53986,
180,J0520-2553,lml+98,33.77,3,hlk+04,0.2416421756731,7,hlk+04,80.15077,-25.88675,
181,J0521-68,rcl+13,136,4,rcl+13,0.43342070,30,rcl+13,80.43333,-68.58333,
182,J0522-6847,mfl+06,126.45,7,mfl+06,0.67453190906,3,mfl+06,80.59608,-68.78394,
183,B0523+11,mlt+78,79.418,13,bkk+16,0.35443759451370,13,hlk+04,81.48520,11.25530,
184,J0525-6607,mgi+79,*,0,*,8.0470,2,kkm+03,81.50375,-66.07675,
185,B0525+21,sr68,50.8695,13,bkk+16,3.74553925030,3,ywml10,82.21777,22.00111,
186,B0529-66,mhah83,103.2,3,ckm+01,0.97572496638,6,ckm+01,82.46217,-66.87728,
187,J0532-6639,mfl+06,69.3,18,mfl+06,0.64274275093,3,mfl+06,83.24796,-66.66036,
188,J0532-69,rcl+13,124,1,rcl+13,1.1491957,14,rcl+13,83.01667,-69.76667,
189,J0533+0402,snt97,83.7,1,snt97,0.96301770198,2,snt97,83.35758,4.03347,
190,J0533+6759,san16,57.369,2,san16,0.0043881599698083,9,san16,83.47975,67.98819,
191,B0531+21,sr68,56.77118,24,bkk+16,0.0333924123,12,ljg+15,83.63322,22.01446,
