,label,xcentroid,ycentroid,sky_centroid,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,area,semimajor_sigma,semiminor_sigma,orientation,eccentricity,min_value,max_value,local_background,segment_flux,segment_fluxerr,kron_flux,kron_fluxerr,VLT_FORS2_I,kron_radius,ra,dec,separation,ang_size,P_c,Sigma_m,mag,P_O,p_xO,P_Ox,P_Ux,P_U
34,35,696.5052408673941,243.51264828427782,,689,704,237,251,169.0,2.0549684153814978,1.7841115928920563,-34.42383004131331,0.49622463390922156,-0.1633189241497064,40.60563601403953,0.0,580.3513499133601,,570.1118914745414,,20.629317214835506,1.4,199.78436775648817,-18.846212838459444,88.46814893650121,0.5178520406761374,0.9980915876256821,0.0002545870190398491,20.629317214835506,0.0007085099834228529,0.0,0.0,0.0,0.0
35,36,3.265064250115162,269.4203863635894,,1,10,262,277,124.0,2.5839709672333324,1.8126923719986006,81.0187832480345,0.7126554582468803,-0.0046700214226262915,24.28239215031728,0.0,583.2700666057249,,709.2320036505917,,20.623870489663048,1.4,199.8349983479293,-18.844109107569572,91.98229624889781,0.6511606837427998,0.998808951796597,0.00025322393009657697,20.623870489663048,0.0007123238493723832,0.0,0.0,0.0,0.0
36,37,628.2135964226426,266.6267830078059,,623,634,263,270,74.0,2.8177816774964746,1.4178928456556574,14.152950907541767,0.864173061188203,-0.1108228806931919,2.8902962684644535,0.0,64.2011698793719,,73.37323789995902,,23.01968735750019,1.4,199.78934584871797,-18.84458462326088,70.5249388486064,0.7100809827291116,0.9999999999999997,0.0022795695881897846,23.01968735750019,7.912785184278381e-05,0.0,0.0,0.0,0.0
37,38,515.1732674019966,277.0458647495315,,506,525,268,286,255.0,2.380723275960796,2.3058735318220185,71.24842411774537,0.24877975641050043,0.043215529653934937,71.76180518021185,0.0,1589.3961993677776,,1571.0934141871212,,19.535464286786922,1.4,199.79759879165712,-18.843814031618727,43.70237489453442,0.5999422655421206,0.3950469052696882,8.365708038708418e-05,19.535464286786922,0.0021561527584393857,0.0,0.0,0.0,0.0
38,39,38.78330517797271,288.1323346925431,,29,53,273,302,477.0,4.396067242228729,2.8300647893656317,-69.99897436876392,0.7652174030314722,-0.11139501274739416,47.21798646468433,0.0,2233.451169828672,,2225.720227243418,,19.166103557515875,1.4,199.83239458065023,-18.842831776115297,82.2932393767886,1.1078089450416397,0.7000217513150173,5.65435773153324e-05,19.166103557515875,0.003190060714299478,0.0,0.0,0.0,0.0
39,40,606.8721946171688,281.9845982535549,,603,611,275,290,118.0,3.038178114782608,1.5161350994794618,-79.96868398547028,0.8665860222999237,-0.04181408315660917,7.785158532170186,0.0,185.77667048745627,,190.6158178216586,,21.86606677440128,1.4,199.79089768955126,-18.843513377060095,64.26631804294492,0.7656208849252173,0.9999775087750288,0.0008241534258116589,21.86606677440128,0.00021886391415767536,0.0,0.0,0.0,0.0
40,41,69.23092108098642,294.9403034256654,,60,80,282,306,350.0,2.0865837557135474,1.7399312257153365,-82.69060883886067,0.5519669496331286,-0.03176475774664311,578.3307866605609,0.0,5311.382464115845,,5092.260087571259,,18.22552577375114,1.4,199.83016703790827,-18.84237508132955,74.52785061268892,0.5258191064398139,0.29593012181380507,2.010022297812602e-05,18.22552577375114,0.008973902669432671,0.0,0.0,0.0,0.0
41,42,118.21881288188519,306.1231474416069,,110,129,298,314,273.0,3.454274058233639,2.8976019285092947,17.663584193875188,0.5443697117199604,-0.17486393648570697,14.019677146078777,0.0,645.3182121578441,,661.2773440808555,,20.514109907407388,1.4125221215175088,199.82658300598806,-18.841624382801665,62.02126780373817,0.870477062674877,0.9359584424800927,0.00022717545701617662,20.514109907407388,0.000794000580030759,0.0,0.0,0.0,0.0
10,11,42.086213599465054,77.93260551858604,,31,54,67,90,402.0,1.9233676063618041,1.8479508740221733,35.805243956172255,0.27727975586067793,-0.07404130588734859,623.7281749654052,0.0,8422.828742947091,,8152.082508713163,,17.72489978599694,1.4,199.83225539085018,-18.857365760370282,106.23927944137604,0.48468863680317464,0.33117035704205056,1.134158463853349e-05,17.72489978599694,0.015904077815260258,0.0,0.0,0.0,0.0
11,12,447.6328524847136,83.40725362566687,,443,453,80,88,80.0,2.066553214452302,1.3698251274259892,20.88210370128038,0.748747788808624,0.038802306554032384,8.520349788156011,0.0,137.85672746093167,,138.12170705566706,,22.189974800494667,1.4,199.80262443738664,-18.85717133732811,72.46437134487797,0.5207714100419801,0.9999999879711002,0.0011049784813032097,22.189974800494667,0.000163240685399466,0.0,0.0,0.0,0.0
